latitude,longitude,accommodates,bedrooms,beds,price
51.54145,-0.0551,1,1,1,$40.00 
51.42007,-0.16835,2,1,1,$25.00 
51.56248,-0.00646,2,1,1,$30.00 
51.52984,-0.08155,4,1,1,$40.00 
51.54644,-0.10342,2,1,1,$38.00 
51.53183,0.0492,1,1,1,$51.00 
51.53417,-0.06552,5,3,3,$130.00 
51.50862,-0.12717,2,1,1,$125.00 
51.46938,-0.17134,1,2,1,$35.00 
51.51854,0.02291,5,2,3,$60.00 
51.44251,-0.01989,10,4,8,$156.00 
51.44293,-0.0201,2,1,2,$87.00 
51.44368,-0.02195,4,2,0,$100.00 
51.44177,-0.02204,5,2,5,$103.00 
51.44283,-0.0214,4,1,3,$85.00 
51.44365,-0.02287,8,4,8,$158.00 
51.58177,-0.07674,1,1,1,$30.00 
51.50423,-0.10777,2,1,2,$38.00 
51.50558,-0.32817,1,1,1,$29.00 
51.47176,0.05943,1,1,1,$46.00 
51.44267,-0.33194,3,1,1,$71.00 
51.53085,-0.3997,2,1,1,$30.00 
51.50177,-0.21433,6,2,3,$199.00 
51.52084,-0.20609,4,1,1,$136.00 
51.54046,-0.09883,3,2,2,$80.00 
51.5382,-0.18906,4,1,0,$72.00 
51.45414,0.01046,2,,1,$45.00 
51.47297,-0.18298,5,2,3,$115.00 
51.4228,-0.17757,4,1,2,$78.00 
51.43958,-0.05342,5,2,2,$119.00 
51.4255,-0.12506,1,1,1,$31.00 
51.61598,-0.02244,3,1,1,$50.00 
51.51816,-0.16574,4,1,2,$188.00 
51.42168,-0.17803,6,2,4,$120.00 
51.49281,-0.30921,6,2,4,$124.00 
51.51553,-0.19017,2,1,1,$89.00 
51.52864,-0.18484,6,3,2,$950.00 
51.49929,-0.08871,2,1,1,$149.00 
51.51428,-0.26447,2,1,1,$50.00 
51.52371,-0.11496,2,1,1,$96.00 
51.559,-0.07363,1,1,1,$45.00 
51.58588,-0.25342,2,1,1,$50.00 
51.50707,-0.24764,2,1,0,$62.00 
51.46865,-0.0433,2,1,1,$75.00 
51.52839,-0.0757,2,,2,$70.00 
51.58202,-0.3768,2,1,1,$60.00 
51.5115,-0.18749,4,2,2,$250.00 
51.53606,-0.23576,6,3,3,$102.00 
51.50414,-0.08274,4,2,3,$200.00 
51.52185,0.02417,2,1,1,$45.00 
51.52185,0.02417,1,1,1,$45.00 
51.53625,0.0048,6,3,3,$572.00 
51.54167,-0.14058,6,3,3,$275.00 
51.43027,-0.12881,2,1,1,$29.00 
51.59228,-0.25644,1,1,1,$49.00 
51.48794,-0.21467,3,1,2,$54.00 
51.57505,0.00514,1,1,1,$34.00 
51.5206,-0.34408,2,1,1,$86.00 
51.41885,-0.16645,2,1,1,$45.00 
51.43021,-0.12722,4,2,2,$135.00 
51.55763,-0.30246,5,2,2,$59.00 
51.58548,-0.07469,6,2,2,$106.00 
51.55964,-0.40993,1,1,1,$57.00 
51.5835,-0.11739,6,3,3,$200.00 
51.51749,-0.01934,2,1,2,$55.00 
51.45559,-0.02008,5,3,4,$100.00 
51.45361,-0.08876,4,1,,$368.00 
51.48043,0.03946,1,1,1,$40.00 
51.47689,0.03238,1,1,1,$32.00 
51.5244,-0.10233,2,1,1,$140.00 
51.55539,-0.00191,10,5,5,$200.00 
51.49748,-0.09651,2,1,1,$70.00 
51.41715,-0.2457,6,1,6,$152.00 
51.41761,-0.24613,1,1,1,$107.00 
51.54259,0.15386,1,1,1,$41.00 
51.49521,-0.10013,5,2,3,$134.00 
51.51683,-0.16577,2,1,1,$70.00 
51.52344,-0.46178,2,1,1,$26.00 
51.52197,-0.14035,3,1,2,$179.00 
51.55215,-0.03855,7,2,3,$145.00 
51.50584,-0.02814,2,1,1,$140.00 
51.56207,-0.10059,2,1,1,$180.00 
51.58751,-0.09781,1,1,1,$50.00 
51.56099,-0.0774,8,5,4,$190.00 
51.49494,-0.11211,6,3,3,$250.00 
51.49883,0.10547,2,1,1,$34.00 
51.46721,-0.10136,2,1,1,$35.00 
51.41755,-0.15309,13,4,10,$500.00 
51.54321,0.00626,2,1,1,$100.00 
51.52773,-0.13097,2,1,1,$60.00 
51.52704,-0.08129,2,1,1,$135.00 
51.5329,-0.2331,3,1,1,$89.00 
51.60139,-0.08639,2,1,1,$26.00 
51.55701,-0.08336,6,3,3,$97.00 
51.52661,0.03109,2,1,1,$32.00 
51.47776,-0.14939,4,2,2,$140.00 
51.44085,-0.13348,1,1,1,$29.00 
51.48366,-0.11658,2,1,1,$50.00 
51.54462,-0.14696,3,1,1,$93.00 
51.61455,-0.02989,1,1,1,$29.00 
51.51233,-0.16783,2,1,1,$140.00 
51.49273,-0.19404,2,1,1,$200.00 
51.53918,-0.14702,2,1,1,$75.00 
51.49709,-0.2032,1,1,0,$69.00 
51.5474,-0.20634,4,2,2,$129.00 
51.46811,-0.17134,2,1,1,$43.00 
51.53967,-0.09674,2,1,1,$99.00 
51.5506,-0.07698,2,1,1,$75.00 
51.55317,0.02328,2,1,1,$29.00 
51.57949,-0.22357,2,1,1,$65.00 
51.5327,0.01228,2,1,1,$35.00 
51.54368,-0.17332,3,1,2,$45.00 
51.54999,-0.18455,8,3,4,$761.00 
51.56931,-0.02936,2,1,1,$120.00 
51.48864,-0.11714,6,3,3,$140.00 
